"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"31.12.2017","11.993,6","10.654,4","12.180,0","10.520,6","5,10K","12,57%"
"30.12.2017","10.654,4","12.258,8","12.311,6","10.438,2","8,54K","-13,09%"
"29.12.2017","12.258,8","12.290,0","12.689,6","11.989,0","4,59K","-0,25%"
"28.12.2017","12.290,0","13.010,0","13.100,0","11.721,8","7,09K","-5,53%"
"27.12.2017","13.010,0","13.161,9","13.596,0","12.276,0","6,21K","-1,15%"
"26.12.2017","13.161,9","11.685,8","13.490,0","11.527,0","5,76K","12,63%"
"25.12.2017","11.685,8","11.775,0","12.298,0","11.184,8","4,37K","-0,76%"
"24.12.2017","11.775,0","12.339,0","12.405,7","10.500,0","6,43K","-4,57%"
"23.12.2017","12.339,0","11.615,9","13.173,9","11.450,0","6,39K","6,23%"
"22.12.2017","11.615,9","12.587,5","12.829,2","8.926,0","10,19K","-7,72%"
"21.12.2017","12.587,5","13.898,5","14.554,9","11.100,0","6,95K","-9,43%"
"20.12.2017","13.898,5","14.994,2","15.284,0","13.329,0","8,97K","-7,31%"
"19.12.2017","14.994,2","15.767,2","15.800,1","14.466,0","7,49K","-4,90%"
"18.12.2017","15.767,2","15.601,0","15.866,0","14.980,0","5,08K","1,07%"
"17.12.2017","15.601,0","16.135,6","16.323,0","15.284,0","4,69K","-3,31%"
"16.12.2017","16.135,6","14.660,0","16.310,4","14.503,1","4,81K","10,07%"
"15.12.2017","14.660,0","13.661,5","14.977,0","13.615,0","4,73K","7,31%"
"14.12.2017","13.661,5","13.250,1","13.750,0","13.000,0","3,66K","3,10%"
"13.12.2017","13.250,1","13.770,0","14.050,0","13.090,0","3,78K","-3,78%"
"12.12.2017","13.770,0","13.651,5","14.250,1","13.161,5","4,96K","0,87%"
"11.12.2017","13.651,5","12.300,0","14.372,7","12.300,0","6,63K","10,99%"
"10.12.2017","12.300,0","12.215,4","12.974,0","10.775,0","7,98K","0,69%"
"09.12.2017","12.215,4","13.297,9","13.400,0","10.950,0","6,07K","-8,14%"
"08.12.2017","13.297,9","13.760,1","14.238,8","11.901,3","9,24K","-3,36%"
