"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"31.12.2018","3.235,4","3.365,4","3.372,0","3.201,6","6,18K","-3,86%"
"30.12.2018","3.365,4","3.278,3","3.392,0","3.241,6","4,04K","2,85%"
"29.12.2018","3.272,2","3.416,0","3.457,9","3.260,8","4,48K","-4,21%"
"28.12.2018","3.416,0","3.152,7","3.464,2","3.133,3","7,89K","8,35%"
"27.12.2018","3.152,7","3.358,0","3.382,8","3.128,5","7,20K","-6,11%"
"26.12.2018","3.358,0","3.327,9","3.395,5","3.247,0","3,88K","0,90%"
"25.12.2018","3.327,9","3.545,6","3.553,3","3.235,0","8,53K","-6,14%"
"24.12.2018","3.545,5","3.478,5","3.725,0","3.478,5","11,03K","1,93%"
"23.12.2018","3.478,2","3.508,4","3.583,9","3.453,5","5,56K","-0,83%"
"22.12.2018","3.507,2","3.387,0","3.532,5","3.345,0","5,93K","3,55%"
"21.12.2018","3.387,0","3.559,7","3.630,4","3.320,0","12,83K","-4,85%"
"20.12.2018","3.559,7","3.237,2","3.654,2","3.218,6","15,00K","9,96%"
"19.12.2018","3.237,2","3.231,6","3.454,8","3.209,0","14,70K","0,17%"
"18.12.2018","3.231,6","3.090,4","3.244,0","3.029,4","8,48K","4,57%"
"17.12.2018","3.090,5","2.831,8","3.169,8","2.821,0","11,18K","9,14%"
"16.12.2018","2.831,8","2.820,5","2.889,0","2.817,4","3,41K","0,33%"
"15.12.2018","2.822,6","2.829,4","2.860,4","2.775,0","4,53K","-0,24%"
"14.12.2018","2.829,4","2.877,5","2.909,3","2.780,0","9,36K","-1,67%"
"13.12.2018","2.877,5","3.023,3","3.025,9","2.837,7","7,64K","-4,82%"
"12.12.2018","3.023,3","2.955,7","3.067,8","2.946,6","6,84K","2,12%"
"11.12.2018","2.960,6","3.007,0","3.027,3","2.918,7","6,39K","-1,54%"
"10.12.2018","3.007,0","3.099,9","3.154,4","2.965,9","6,71K","-3,00%"
"09.12.2018","3.100,0","2.989,9","3.200,0","2.970,1","5,75K","3,68%"
"08.12.2018","2.989,9","2.978,7","3.069,0","2.861,9","7,49K","0,37%"
"07.12.2018","2.979,0","3.031,4","3.110,2","2.824,9","18,49K","-1,68%"
"06.12.2018","3.029,9","3.259,3","3.390,2","3.023,1","13,73K","-7,04%"
"05.12.2018","3.259,3","3.448,4","3.457,6","3.250,8","7,56K","-5,48%"
"04.12.2018","3.448,4","3.379,3","3.559,7","3.296,0","6,83K","1,91%"
"03.12.2018","3.383,7","3.622,0","3.634,9","3.312,0","9,31K","-6,57%"
"02.12.2018","3.621,6","3.665,2","3.769,9","3.568,7","5,83K","-1,20%"
"01.12.2018","3.665,5","3.514,9","3.768,5","3.460,0","6,03K","4,28%"
"30.11.2018","3.515,2","3.729,9","3.778,2","3.400,9","10,75K","-5,75%"
"29.11.2018","3.729,7","3.722,9","3.895,0","3.599,0","13,10K","0,18%"
"28.11.2018","3.722,9","3.348,1","3.876,9","3.348,1","17,50K","11,19%"
"27.11.2018","3.348,3","3.291,4","3.395,0","3.161,0","10,91K","1,73%"
"26.11.2018","3.291,4","3.475,1","3.584,1","3.114,6","16,33K","-5,42%"
"25.11.2018","3.479,9","3.336,4","3.623,7","3.050,5","18,19K","4,30%"
"24.11.2018","3.336,4","3.777,0","3.850,0","3.223,3","10,39K","-11,63%"
"23.11.2018","3.775,5","3.736,5","3.836,7","3.594,0","10,23K","1,04%"
"22.11.2018","3.736,5","3.984,3","4.029,9","3.719,8","8,27K","-6,28%"
"21.11.2018","3.986,8","3.831,8","4.053,0","3.705,1","10,89K","3,91%"
"20.11.2018","3.836,8","4.051,8","4.219,0","3.513,8","24,66K","-5,31%"
"19.11.2018","4.051,8","4.867,1","4.868,7","4.000,1","15,98K","-16,75%"
"18.11.2018","4.867,1","4.819,8","4.983,0","4.815,9","2,63K","0,98%"
"17.11.2018","4.819,8","4.821,3","4.847,7","4.772,5","2,07K","0,02%"
"16.11.2018","4.818,9","4.915,6","4.944,6","4.740,9","5,54K","-1,89%"
"15.11.2018","4.911,6","4.981,5","5.007,7","4.617,8","10,39K","-1,41%"
"14.11.2018","4.981,7","5.550,9","5.579,9","4.759,1","13,27K","-10,25%"
"13.11.2018","5.550,9","5.637,0","5.637,0","5.547,2","2,78K","-1,53%"
"12.11.2018","5.637,1","5.612,9","5.658,9","5.612,9","1,86K","0,43%"
"11.11.2018","5.612,9","5.596,8","5.613,0","5.542,2","1,06K","0,29%"
"10.11.2018","5.596,8","5.589,8","5.627,8","5.587,3","0,97K","0,13%"
"09.11.2018","5.589,8","5.634,6","5.653,9","5.562,4","2,86K","-0,71%"
"08.11.2018","5.630,0","5.689,3","5.697,0","5.609,1","2,41K","-1,04%"
"07.11.2018","5.689,3","5.642,9","5.725,0","5.642,9","3,04K","0,82%"
"06.11.2018","5.642,9","5.601,0","5.650,0","5.595,8","3,00K","0,75%"
"05.11.2018","5.601,0","5.624,8","5.639,9","5.585,0","2,10K","-0,42%"
"04.11.2018","5.624,8","5.555,8","5.655,3","5.534,0","1,98K","1,24%"
"03.11.2018","5.555,7","5.571,9","5.579,1","5.539,5","1,19K","-0,29%"
"02.11.2018","5.571,9","5.557,1","5.590,6","5.538,4","2,38K","0,27%"
"01.11.2018","5.557,0","5.579,0","5.579,8","5.528,0","2,05K","-0,39%"
"31.10.2018","5.579,0","5.533,4","5.609,6","5.483,1","2,21K","0,82%"
"30.10.2018","5.533,4","5.502,6","5.549,9","5.498,2","1,77K","0,56%"
"29.10.2018","5.502,6","5.631,2","5.639,7","5.454,2","3,85K","-2,28%"
"28.10.2018","5.631,2","5.626,7","5.638,0","5.605,0","0,81K","0,08%"
"27.10.2018","5.626,7","5.616,4","5.635,8","5.602,4","0,82K","0,18%"
"26.10.2018","5.616,4","5.624,2","5.672,4","5.609,4","2,02K","-0,14%"
"25.10.2018","5.624,2","5.628,1","5.640,1","5.581,0","2,11K","-0,08%"
"24.10.2018","5.628,5","5.576,6","5.658,0","5.575,1","2,53K","0,90%"
"23.10.2018","5.578,3","5.592,3","5.599,9","5.560,1","2,57K","-0,25%"
"22.10.2018","5.592,4","5.573,8","5.612,4","5.555,1","2,05K","0,33%"
"21.10.2018","5.573,8","5.576,7","5.620,0","5.566,3","1,10K","-0,14%"
"20.10.2018","5.581,8","5.561,0","5.597,6","5.541,9","0,86K","0,37%"
"19.10.2018","5.561,0","5.581,6","5.593,4","5.547,0","2,47K","-0,37%"
"18.10.2018","5.581,6","5.607,1","5.639,9","5.549,3","2,27K","-0,45%"
"17.10.2018","5.607,1","5.593,8","5.625,4","5.553,9","3,09K","0,24%"
"16.10.2018","5.593,8","5.555,8","5.630,0","5.529,5","3,29K","0,68%"
"15.10.2018","5.555,8","5.357,3","5.845,0","5.330,0","12,61K","3,71%"
"14.10.2018","5.357,3","5.387,0","5.454,5","5.327,4","1,95K","-0,55%"
"13.10.2018","5.387,0","5.376,8","5.404,4","5.357,1","1,36K","0,19%"
"12.10.2018","5.376,8","5.314,7","5.405,8","5.277,8","2,83K","1,16%"
"11.10.2018","5.314,9","5.668,8","5.668,8","5.281,9","8,38K","-6,24%"
"10.10.2018","5.668,8","5.745,0","5.745,0","5.608,0","3,58K","-1,33%"
"09.10.2018","5.745,0","5.757,0","5.779,1","5.730,0","2,09K","-0,21%"
"08.10.2018","5.757,0","5.690,9","5.807,5","5.685,2","3,25K","1,16%"
"07.10.2018","5.690,9","5.691,9","5.712,5","5.626,4","1,74K","-0,02%"
"06.10.2018","5.691,9","5.725,0","5.732,0","5.670,4","1,17K","-0,58%"
"05.10.2018","5.725,0","5.690,9","5.770,9","5.659,4","2,32K","0,60%"
"04.10.2018","5.690,9","5.621,3","5.735,8","5.615,9","2,83K","1,24%"
"03.10.2018","5.621,3","5.628,8","5.644,6","5.530,3","5,33K","-0,20%"
"02.10.2018","5.632,5","5.677,9","5.700,0","5.600,1","2,51K","-0,80%"
"01.10.2018","5.677,9","5.687,0","5.719,0","5.597,3","2,65K","-0,16%"
"30.09.2018","5.687,0","5.668,1","5.716,8","5.612,9","0,74K","0,33%"
"29.09.2018","5.668,1","5.708,9","5.708,9","5.565,6","1,11K","-0,67%"
"28.09.2018","5.706,4","5.745,6","5.848,7","5.629,1","2,10K","-0,56%"
"27.09.2018","5.738,7","5.496,3","5.760,5","5.496,3","3,50K","4,40%"
"26.09.2018","5.496,8","5.472,2","5.572,0","5.425,1","3,18K","0,51%"
"25.09.2018","5.469,0","5.599,7","5.600,2","5.385,0","3,69K","-2,33%"
"24.09.2018","5.599,7","5.691,7","5.708,4","5.574,8","3,94K","-1,67%"
"23.09.2018","5.694,9","5.707,1","5.749,9","5.656,5","1,57K","-0,21%"
"22.09.2018","5.707,1","5.734,4","5.794,8","5.626,8","2,88K","-0,48%"
"21.09.2018","5.734,4","5.514,0","5.766,7","5.512,1","6,77K","4,00%"
"20.09.2018","5.514,0","5.478,2","5.554,7","5.391,0","3,55K","0,75%"
"19.09.2018","5.472,8","5.420,2","5.592,2","5.240,0","4,98K","0,97%"
"18.09.2018","5.420,2","5.359,6","5.452,6","5.329,8","3,53K","1,13%"
"17.09.2018","5.359,6","5.586,9","5.610,0","5.306,0","4,83K","-4,07%"
"16.09.2018","5.586,9","5.605,0","5.605,8","5.490,1","1,31K","-0,32%"
"15.09.2018","5.605,0","5.572,8","5.648,9","5.561,5","1,22K","0,54%"
"14.09.2018","5.575,0","5.556,6","5.629,7","5.463,2","3,87K","0,47%"
"13.09.2018","5.549,0","5.442,1","5.647,0","5.439,3","6,16K","1,97%"
"12.09.2018","5.442,0","5.413,6","5.470,2","5.347,8","3,62K","0,52%"
"11.09.2018","5.413,6","5.439,9","5.522,2","5.325,0","4,11K","-0,48%"
"10.09.2018","5.439,8","5.398,9","5.506,7","5.383,9","3,77K","0,76%"
"09.09.2018","5.398,9","5.363,4","5.580,7","5.330,1","2,75K","0,55%"
"08.09.2018","5.369,2","5.530,6","5.594,6","5.306,2","3,72K","-2,92%"
"07.09.2018","5.530,6","5.599,0","5.620,0","5.430,4","4,88K","-1,22%"
"06.09.2018","5.599,0","5.752,9","5.762,7","5.390,0","10,11K","-2,68%"
"05.09.2018","5.752,9","6.341,6","6.380,7","5.731,0","7,36K","-9,28%"
"04.09.2018","6.341,6","6.243,2","6.389,9","6.228,9","3,19K","1,58%"
"03.09.2018","6.243,2","6.280,9","6.300,0","6.188,6","2,71K","-0,60%"
"02.09.2018","6.280,9","6.178,4","6.321,7","6.130,0","2,86K","1,66%"
"01.09.2018","6.178,4","6.031,2","6.239,0","6.030,2","3,14K","2,44%"
"31.08.2018","6.031,2","5.980,7","6.096,0","5.913,9","3,15K","0,84%"
"30.08.2018","5.980,7","5.999,9","6.023,0","5.819,0","4,26K","-0,30%"
"29.08.2018","5.998,5","6.052,0","6.108,0","5.915,9","3,94K","-0,88%"
"28.08.2018","6.052,0","5.899,0","6.096,0","5.874,8","5,05K","2,49%"
"27.08.2018","5.905,2","5.764,9","5.921,0","5.720,0","3,34K","2,43%"
"26.08.2018","5.764,9","5.789,9","5.824,9","5.659,0","1,87K","-0,43%"
"25.08.2018","5.789,9","5.758,9","5.840,0","5.722,0","2,34K","0,52%"
"24.08.2018","5.760,1","5.652,2","5.784,6","5.565,4","3,17K","1,95%"
"23.08.2018","5.649,9","5.481,2","5.684,5","5.472,4","4,48K","3,11%"
"22.08.2018","5.479,4","5.593,1","5.936,0","5.382,1","7,86K","-2,03%"
"21.08.2018","5.593,1","5.456,6","5.625,0","5.442,3","4,71K","2,50%"
"20.08.2018","5.456,6","5.670,0","5.701,8","5.431,4","4,69K","-3,76%"
"19.08.2018","5.670,0","5.604,3","5.751,7","5.548,3","2,70K","1,17%"
"18.08.2018","5.604,3","5.760,7","5.783,0","5.505,0","3,63K","-2,72%"
"17.08.2018","5.760,8","5.566,0","5.762,4","5.551,2","3,70K","3,50%"
"16.08.2018","5.566,0","5.537,3","5.700,0","5.478,2","4,63K","0,51%"
"15.08.2018","5.537,6","5.461,2","5.852,3","5.455,0","8,28K","1,40%"
"14.08.2018","5.461,2","5.498,0","5.498,8","5.167,0","8,54K","-0,67%"
"13.08.2018","5.498,0","5.544,4","5.760,0","5.402,0","5,98K","-0,84%"
"12.08.2018","5.544,4","5.471,3","5.700,0","5.410,0","4,03K","1,46%"
"11.08.2018","5.464,4","5.395,5","5.688,5","5.273,3","4,40K","1,56%"
"10.08.2018","5.380,3","5.673,8","5.719,4","5.274,1","5,21K","-5,17%"
"09.08.2018","5.673,8","5.412,7","5.750,0","5.356,9","6,33K","4,82%"
"08.08.2018","5.412,7","5.793,6","5.793,6","5.283,0","8,36K","-6,55%"
"07.08.2018","5.792,0","6.003,6","6.159,9","5.758,4","5,95K","-3,52%"
"06.08.2018","6.003,6","6.071,5","6.177,5","5.923,1","3,04K","-1,12%"
"05.08.2018","6.071,5","6.048,5","6.119,6","5.944,4","3,05K","0,38%"
"04.08.2018","6.048,5","6.400,0","6.467,5","5.982,3","4,92K","-5,49%"
